fecha_nacimiento,sexo,localidad_nacimiento,lugar_nacimiento,fecha_fallecimiento,localidad_fallecimiento,lugar_fallecimiento
1977-01-27,1,Treinta y Tres,1,,,
1977-06-30,8,Maldonado,9,,,
1977-09-13,8,Lavalleja,9,2005-10-10,Artigas,8
1977-01-04,2,Maldonado,1,,,
1977-04-03,1,Paysandú,1,1997-12-14,Maldonado,8
1977-07-10,9,Río Negro,8,2008-09-22,Cerro Largo,9
1977-03-11,1,Salto,3,1998-09-06,Las Piedras,3
1977-07-23,1,Cerro Largo,1,,,
1977-03-28,2,Río Negro,3,,,
1977-04-25,8,Tacuarembó,1,,,
1977-03-22,1,Florida,1,,,
1977-09-18,1,Flores,8,,,
1977-01-01,8,Canelones,8,2007-11-22,Treinta y Tres,9
1977-04-15,9,Maldonado,2,,,
1977-07-18,1,Lavalleja,1,2019-02-19,Tacuarembó,1
1977-03-06,1,Durazno,2,1980-10-08,Maldonado,1
1977-12-15,8,Las Piedras,1,,,
1977-05-15,1,Río Negro,8,2024-11-05,Flores,8
1977-09-13,2,Florida,1,,,
1977-03-16,2,San José,2,2009-10-07,Lavalleja,3
1977-07-02,2,Flores,3,1991-05-13,Tacuarembó,8
1977-05-21,8,Soriano,2,,,
1977-02-13,2,Colonia,9,1988-10-17,Soriano,2
1977-11-04,8,Montevideo,3,,,
1977-04-18,1,Flores,2,,,
1977-08-29,9,Durazno,9,,,
1977-04-08,1,Soriano,1,2000-07-19,Durazno,2
1977-02-06,1,Artigas,9,,,
1977-08-18,2,Flores,3,,,
1977-01-06,1,Maldonado,8,2019-02-21,Lavalleja,2
1977-11-09,1,Río Negro,8,2014-07-25,San José,3
1977-12-17,9,Canelones,1,,,
1977-11-22,2,Lavalleja,1,,,
1977-06-19,9,Paysandú,9,2003-10-28,Lavalleja,2
1977-02-02,2,Durazno,9,2025-02-18,Cerro Largo,9
1977-07-09,1,Soriano,9,,,
1977-11-24,1,Treinta y Tres,3,,,
1977-03-23,1,Florida,1,,,
1977-08-24,1,Las Piedras,1,1983-06-07,Florida,1
1977-03-27,9,Tacuarembó,9,2016-06-24,Rivera,3
1977-08-10,1,Flores,1,,,
1977-12-06,1,Salto,8,,,
1977-04-22,1,Montevideo,9,,,
1977-05-04,1,Colonia,8,2019-02-19,Treinta y Tres,3
1977-02-24,1,Lavalleja,8,,,
1977-03-23,1,Durazno,8,,,
1977-05-02,2,Salto,9,2020-10-07,Las Piedras,3
1977-06-05,2,Colonia,1,,,
1977-01-10,1,Tacuarembó,8,2023-11-24,Canelones,9
1977-12-23,1,Rivera,1,1984-03-07,San José,1
1977-11-03,1,Montevideo,3,1981-12-04,Montevideo,9
1977-10-25,9,Artigas,1,,,
1977-12-14,2,Florida,9,,,
1977-03-13,2,Tacuarembó,8,2016-12-07,Lavalleja,1
1977-04-24,2,Colonia,3,2001-12-02,Durazno,8
1977-03-14,1,Montevideo,3,,,
1977-07-08,8,Artigas,3,,,
1977-05-02,2,Soriano,2,,,
1977-11-10,9,Lavalleja,9,,,
1977-07-09,9,Rocha,2,,,
1977-11-22,2,Durazno,9,,,
1977-09-23,1,Florida,2,,,
1977-08-06,9,San José,9,,,
1977-06-26,1,Tacuarembó,8,,,
1977-11-07,2,Florida,9,,,
1977-09-19,1,Durazno,3,,,
1977-02-21,1,Artigas,9,1986-03-29,Soriano,2
1977-01-29,1,Salto,1,2018-12-23,Salto,2
1977-03-29,1,Paysandú,1,,,
1977-05-25,1,Salto,1,,,
1977-07-15,2,Flores,8,,,
1977-09-01,2,Maldonado,3,,,
1977-10-20,2,Paysandú,3,,,
1977-08-02,2,Durazno,2,,,
1977-09-19,1,Montevideo,3,1978-07-24,Rocha,2
1977-11-14,1,Las Piedras,9,,,
1977-10-17,2,Las Piedras,2,,,
1977-07-22,1,Cerro Largo,3,2025-02-23,Artigas,8
1977-05-02,2,Lavalleja,9,1992-10-19,Paysandú,8
1977-12-17,1,Soriano,9,,,
1977-05-05,1,Río Negro,8,,,
1977-06-18,2,Treinta y Tres,1,,,
1977-11-28,2,Río Negro,3,2013-11-28,Montevideo,2
1977-04-29,2,Rivera,8,,,
1977-09-05,1,Tacuarembó,1,,,
1977-12-25,9,Artigas,3,2012-05-09,Rivera,8
1977-04-10,1,Canelones,8,,,
1977-05-23,9,Durazno,9,,,
1977-07-29,8,Canelones,3,,,
1977-12-07,1,Maldonado,8,2011-04-26,Rivera,8
1977-10-30,1,Flores,1,2009-02-03,Maldonado,2
1977-05-13,2,Tacuarembó,9,1978-03-24,Tacuarembó,2
1977-06-03,2,Flores,2,2003-03-24,Treinta y Tres,9
1977-01-17,9,Tacuarembó,9,1979-07-14,Treinta y Tres,8
1977-02-18,2,Treinta y Tres,3,,,
1977-08-22,1,Colonia,1,,,
1977-01-26,1,Lavalleja,1,,,
1977-08-24,8,Flores,3,,,
1977-06-23,9,Las Piedras,2,1990-04-25,Soriano,1
1977-10-23,1,Maldonado,8,,,
1977-02-12,8,Las Piedras,9,2007-01-08,Montevideo,3
1977-11-25,1,Río Negro,9,,,
1977-04-05,2,Cerro Largo,1,,,
1977-03-20,9,Treinta y Tres,2,2004-02-21,Cerro Largo,8
1977-03-15,1,Montevideo,8,,,
1977-03-10,2,Colonia,8,,,
1977-12-25,1,Rocha,2,,,
1977-08-15,2,Montevideo,2,,,
1977-08-23,1,Paysandú,8,,,
1977-04-29,2,Lavalleja,1,,,
1977-07-06,1,Colonia,1,2022-02-02,Durazno,1
1977-11-27,1,Maldonado,3,,,
1977-04-24,1,Canelones,1,,,
1977-10-24,1,Las Piedras,3,,,
1977-10-29,1,Cerro Largo,3,,,
1977-08-12,1,Salto,1,,,
1977-06-04,9,Montevideo,1,,,
1977-03-27,2,Rocha,2,,,
1977-10-21,1,Florida,3,,,
1977-12-02,8,Durazno,8,,,
1977-09-24,2,Treinta y Tres,9,,,
1977-12-31,1,Río Negro,3,,,
1977-12-04,1,Florida,1,,,
1977-12-09,2,Artigas,1,1997-08-20,Las Piedras,1
1977-09-04,1,Las Piedras,3,,,
1977-06-30,1,Paysandú,2,,,
1977-10-06,8,Rivera,9,2007-06-05,Durazno,9
1977-08-16,1,Maldonado,8,2012-12-02,Soriano,2
1977-10-08,2,Rivera,3,,,
1977-07-19,2,Tacuarembó,9,,,
1977-09-01,1,Artigas,1,,,
1977-02-06,9,Tacuarembó,3,,,
1977-12-20,1,Colonia,8,,,
1977-04-10,1,Maldonado,1,1985-06-15,Flores,9
1977-09-29,8,Florida,9,,,
1977-03-20,2,Paysandú,2,2014-11-10,Rocha,9
1977-10-29,1,Maldonado,8,,,
1977-01-15,2,Canelones,2,,,
1977-04-25,1,San José,1,,,
1977-10-23,1,Salto,2,1990-08-12,Las Piedras,2
1977-02-26,1,Las Piedras,1,2023-12-23,Flores,8
1977-08-29,1,Río Negro,2,1985-03-22,Rocha,9
1977-02-17,1,Flores,9,1982-05-10,Durazno,9
1977-10-17,1,San José,9,2006-01-05,Paysandú,8
1977-06-25,1,Canelones,3,2002-07-16,Flores,1
1977-04-12,2,Las Piedras,3,,,
1977-10-18,8,Artigas,1,,,
1977-01-01,9,Las Piedras,2,,,
1977-07-11,1,Colonia,1,2022-04-24,Tacuarembó,3
1977-07-22,8,San José,8,,,
1977-08-07,9,Soriano,8,,,
1977-07-08,1,Salto,2,2005-06-02,Durazno,3
1977-07-27,1,Lavalleja,1,,,
1977-08-09,1,Cerro Largo,1,,,
1977-04-19,9,Cerro Largo,8,1980-12-08,Paysandú,2
1977-08-06,8,Soriano,3,2012-11-28,Cerro Largo,9
1977-09-19,1,Tacuarembó,2,,,
1977-09-29,1,San José,2,2000-06-13,Soriano,8
1977-11-25,2,Rivera,2,2008-10-29,Paysandú,1
1977-02-07,1,Cerro Largo,1,,,
1977-09-07,1,Rivera,1,1994-01-02,Artigas,8
1977-02-14,1,Tacuarembó,9,,,
1977-06-09,1,Tacuarembó,9,1987-09-26,Salto,2
1977-06-26,2,Maldonado,2,1999-10-17,Durazno,8
1977-04-08,2,Artigas,8,,,
1977-01-12,1,Paysandú,2,2021-09-05,Río Negro,9
1977-07-20,1,Colonia,8,,,
1977-12-17,8,Cerro Largo,3,,,
1977-08-11,1,Montevideo,8,1993-03-27,Salto,3
1977-02-02,1,Maldonado,3,1997-02-06,Rocha,8
1977-04-25,1,Salto,9,1987-12-15,Soriano,9
1977-11-14,2,San José,3,1991-03-14,Maldonado,3
1977-02-15,1,Río Negro,1,2022-01-23,Paysandú,9
1977-01-26,1,Durazno,3,,,
1977-08-30,9,Las Piedras,3,,,
1977-05-06,8,Río Negro,9,,,
1977-06-09,1,Florida,2,,,
1977-11-19,1,Salto,9,2004-05-17,Salto,3
1977-06-29,1,Salto,9,2001-12-31,Florida,8
1977-05-01,2,Durazno,2,,,
1977-04-01,2,Tacuarembó,3,,,
1977-10-23,1,Flores,1,,,
1977-02-28,2,Montevideo,1,1980-06-23,Salto,2
1977-12-20,1,Rocha,9,1996-11-02,Soriano,3
1977-05-01,2,Paysandú,3,,,
1977-06-11,2,Rivera,8,1994-01-13,Maldonado,3
1977-02-24,9,Soriano,3,,,
1977-01-06,8,Cerro Largo,1,,,
1977-10-20,8,Salto,8,,,
1977-10-21,1,Tacuarembó,3,,,
1977-06-13,9,Florida,8,2000-03-24,Soriano,9
1977-09-04,2,Treinta y Tres,3,1997-09-10,Lavalleja,2
1977-01-04,8,Artigas,9,,,
1977-04-15,9,Río Negro,1,,,
1977-12-12,1,Rocha,3,,,
1977-02-16,1,Canelones,2,,,
1977-03-10,1,Durazno,3,2017-07-20,Rocha,3
1977-05-27,9,Lavalleja,8,,,
1977-05-25,1,Salto,1,,,
1977-07-02,1,Paysandú,9,,,
1977-07-29,9,Tacuarembó,9,,,
1977-07-18,2,Colonia,1,2015-05-13,Salto,1
1977-02-09,1,Canelones,3,,,
1977-12-12,8,Florida,2,2010-11-09,Artigas,2
1977-02-25,1,Rivera,2,,,
1977-03-31,1,Colonia,1,1986-03-14,Tacuarembó,9
1977-08-16,8,Durazno,9,,,
1977-09-24,8,Colonia,3,2019-05-31,Artigas,1
1977-05-18,1,San José,9,1983-09-05,Florida,9
1977-07-25,1,Salto,3,,,
1977-03-04,1,Rocha,1,1991-01-11,Montevideo,9
1977-10-22,1,Artigas,9,,,
1977-05-14,2,Flores,2,,,
1977-10-27,1,Salto,2,,,
1977-01-27,8,Canelones,8,,,
1977-09-01,1,Tacuarembó,9,,,
1977-03-06,1,Florida,8,,,
1977-10-17,1,Maldonado,8,2022-03-30,Florida,1
1977-08-28,1,Colonia,3,,,
1977-09-29,1,Rocha,1,2003-08-30,Montevideo,2
1977-05-17,1,Florida,3,2014-09-15,Río Negro,1
1977-09-11,8,Cerro Largo,8,,,
1977-10-20,1,Paysandú,9,1978-05-10,Canelones,1
1977-04-30,2,Maldonado,2,,,
1977-12-15,1,Durazno,1,,,
1977-12-18,1,Lavalleja,8,,,
1977-07-18,1,Rocha,1,,,
1978-11-24,1,Artigas,9,,,
1978-09-24,8,Paysandú,9,1989-07-11,Durazno,9
1978-11-26,1,Paysandú,2,1993-03-11,Las Piedras,9
1978-12-22,1,Canelones,9,,,
1978-12-02,2,Canelones,9,,,
1978-03-22,1,Artigas,8,,,
1978-12-28,9,Colonia,2,,,
1978-07-11,9,Tacuarembó,3,1980-05-17,Colonia,3
1978-05-07,9,Río Negro,3,,,
1978-01-28,2,Cerro Largo,8,,,
1978-03-13,9,Artigas,2,2019-02-28,Las Piedras,9
1978-11-27,8,Las Piedras,2,2018-10-03,Río Negro,9
1978-09-02,2,Artigas,1,,,
1978-02-19,1,Canelones,1,,,
1978-11-10,1,Soriano,2,,,
1978-12-31,1,Flores,3,1984-10-06,Maldonado,8
1978-07-07,2,Cerro Largo,2,,,
1978-07-24,1,Artigas,8,,,
1978-09-08,8,Rocha,9,2002-08-24,Colonia,3
1978-09-25,9,Río Negro,8,,,
1978-09-29,2,Durazno,2,1998-11-21,Flores,1
1978-10-17,1,Río Negro,8,2020-08-27,Las Piedras,9
1978-08-25,1,San José,1,,,
1978-01-02,1,Colonia,9,,,
1978-06-29,1,Cerro Largo,3,2013-08-26,Canelones,3
1978-10-08,1,San José,3,,,
1978-11-02,8,Artigas,1,,,
1978-12-21,8,Maldonado,9,,,
1978-11-02,2,Florida,2,2021-10-20,Colonia,3
1978-12-16,2,Paysandú,8,2024-04-10,Florida,8
1978-08-10,9,Río Negro,3,2017-12-21,Flores,2
1978-12-23,9,Las Piedras,8,,,
1978-02-06,2,Tacuarembó,9,2019-05-26,Salto,3
1978-01-10,1,Colonia,2,,,
1978-01-19,2,Montevideo,8,,,
1978-04-19,2,Florida,9,2006-08-03,Las Piedras,3
1978-01-20,8,Río Negro,3,1998-04-20,Maldonado,2
1978-04-03,9,Maldonado,1,1993-04-05,San José,3
1978-05-20,1,Paysandú,3,,,
1978-06-22,1,Florida,3,,,
1978-08-20,1,Río Negro,9,2005-01-21,Canelones,9
1978-07-29,2,Maldonado,3,,,
1978-08-24,1,Río Negro,9,,,
1978-07-31,2,Durazno,3,1987-06-03,Salto,3
1978-07-24,8,Montevideo,8,,,
1978-06-30,8,Durazno,1,,,
1978-03-22,1,Florida,1,1984-03-17,Maldonado,1
1978-03-29,1,Durazno,9,2000-05-23,Montevideo,1
1978-05-17,9,Colonia,1,2018-09-21,Paysandú,3
1978-07-06,1,Florida,9,,,
1978-12-08,2,Las Piedras,9,,,
1978-09-17,2,San José,9,1987-08-22,Rivera,3
1978-11-08,1,Soriano,8,,,
1978-02-07,1,Las Piedras,1,1991-07-06,Flores,8
1978-01-21,1,Artigas,2,,,
1978-03-07,1,Maldonado,1,,,
1978-07-11,2,Río Negro,2,,,
1978-01-05,1,Rocha,8,,,
1978-07-12,9,Paysandú,2,,,
1978-02-22,1,Soriano,3,2012-05-19,Rivera,2
1978-06-17,8,Montevideo,8,,,
1978-08-22,9,Paysandú,1,2017-11-24,San José,1
1978-06-12,2,Soriano,3,,,
1978-03-10,1,Paysandú,3,1982-10-18,San José,2
1978-08-12,2,Treinta y Tres,3,,,
1978-11-05,8,San José,8,1986-01-06,Salto,3
1978-05-05,2,Río Negro,2,,,
1978-03-25,2,Lavalleja,9,,,
1978-04-15,1,Colonia,3,,,
1978-05-16,1,Río Negro,9,,,
1978-03-16,1,Cerro Largo,9,1992-08-02,Río Negro,2
1978-04-10,9,San José,9,2008-11-06,Tacuarembó,2
1978-12-06,9,Soriano,9,2004-05-21,Cerro Largo,2
1978-01-31,2,Florida,3,,,
1978-06-06,1,Artigas,1,2016-10-12,Maldonado,9
1978-04-29,1,Cerro Largo,2,2019-01-02,Tacuarembó,1
1978-10-07,2,Montevideo,2,,,
1978-08-03,1,Durazno,9,,,
1978-07-13,2,Lavalleja,1,1997-11-07,Salto,1
1978-12-10,1,Artigas,9,1991-12-21,Colonia,1
1978-12-07,9,Flores,9,1988-03-25,Durazno,3
1978-11-04,9,Treinta y Tres,3,,,
1978-12-11,8,Salto,8,,,
1978-12-14,2,Rivera,2,,,
1978-06-08,2,Salto,2,2003-03-06,Paysandú,9
1978-04-10,2,Las Piedras,2,,,
1978-04-06,2,Artigas,1,,,
1978-12-23,1,Las Piedras,8,,,
1978-07-11,2,Rivera,3,,,
1978-11-25,1,Montevideo,8,2023-03-16,Maldonado,3
1978-12-12,2,Cerro Largo,2,,,
1978-03-22,1,Canelones,9,,,
1978-02-20,1,Treinta y Tres,9,2023-12-26,Treinta y Tres,9
1978-07-11,2,Lavalleja,8,,,
1978-09-15,9,Artigas,9,,,
1978-01-30,1,Río Negro,1,2015-01-04,Soriano,8
1978-06-29,8,Rivera,2,2025-02-02,Salto,1
1978-10-17,1,Paysandú,2,2014-06-19,Río Negro,8
1978-03-10,1,Salto,9,,,
1978-03-30,2,Flores,1,,,
1978-03-31,2,Cerro Largo,9,2003-01-23,Rocha,1
1978-04-12,2,Rocha,3,,,
1978-12-23,9,Florida,9,2023-10-15,Soriano,8
1978-12-22,9,Florida,3,,,
1978-11-07,1,Río Negro,3,2000-09-05,Rivera,1
1978-04-18,2,Las Piedras,1,,,
1978-01-14,2,Flores,1,,,
1978-09-18,2,Paysandú,8,2001-08-01,Artigas,3
1978-10-01,8,Durazno,3,,,
1978-10-08,2,Río Negro,2,,,
1978-03-10,1,Cerro Largo,3,2019-11-14,Durazno,2
1978-12-03,8,Montevideo,3,2019-07-29,Paysandú,9
1978-04-06,1,San José,8,2018-08-24,Soriano,8
1978-04-27,1,Maldonado,9,,,
1978-01-16,9,Durazno,9,,,
1978-08-14,8,Colonia,1,1979-06-18,Tacuarembó,9
1978-01-02,8,Maldonado,3,1999-07-12,Lavalleja,8
1978-11-03,8,Florida,8,2005-09-18,Río Negro,9
1978-09-27,2,Colonia,2,,,
1978-10-15,1,Colonia,9,2009-02-25,Maldonado,9
1978-05-08,1,Salto,3,,,
1978-12-24,1,Cerro Largo,3,,,
1978-02-21,2,Tacuarembó,3,2002-10-27,Rocha,8
1978-10-07,2,Treinta y Tres,8,,,
1978-11-16,2,Tacuarembó,3,2009-06-26,Soriano,9
1978-08-29,2,San José,8,1992-08-30,Lavalleja,9
1978-04-17,1,Rocha,9,,,
1978-08-06,2,Cerro Largo,2,,,
1978-07-05,1,Cerro Largo,8,,,
1978-05-27,2,Río Negro,8,,,
1978-09-20,1,Flores,1,,,
1978-04-03,1,Lavalleja,9,2006-08-30,Durazno,3
1978-08-16,2,Cerro Largo,9,1980-04-07,Rocha,1
1978-03-23,1,Colonia,1,,,
1978-06-25,1,Canelones,2,2004-03-08,Salto,1
1978-06-23,1,Las Piedras,8,1984-12-03,Canelones,8
1978-10-03,1,Salto,2,2002-06-03,Montevideo,2
1978-08-06,1,Paysandú,9,2017-04-27,Flores,1
1978-07-28,1,Soriano,9,,,
1978-08-15,8,Artigas,3,1991-07-18,Lavalleja,8
1978-02-22,8,Paysandú,1,,,
1978-07-27,1,Lavalleja,1,1986-05-08,San José,1
1978-02-14,1,Flores,8,,,
1978-01-28,2,Montevideo,1,,,
1978-07-11,1,Florida,1,,,
1978-11-08,8,Canelones,8,,,
1978-10-03,8,Rivera,2,,,
1978-05-26,9,Florida,9,2005-01-14,Treinta y Tres,2
1978-03-09,2,Tacuarembó,3,,,
1978-03-29,1,Rivera,9,,,
1978-12-08,1,Cerro Largo,2,,,
1978-04-05,9,Florida,9,,,
1978-10-12,2,Colonia,8,1994-03-18,Paysandú,8
1978-04-05,1,Colonia,1,,,
1978-08-26,2,Treinta y Tres,9,2014-06-06,San José,1
1978-12-29,1,Florida,2,1988-07-27,Río Negro,8
1978-04-04,9,Cerro Largo,9,1999-10-19,Florida,2
1978-06-08,8,Soriano,2,,,
1978-07-28,9,Artigas,2,1992-10-08,Durazno,2
1978-05-23,1,Florida,8,,,
1978-08-05,2,Las Piedras,8,1988-12-25,Canelones,8
1978-11-18,1,Colonia,2,,,
1978-10-14,1,Paysandú,9,,,
1978-09-20,9,Rocha,9,2015-03-17,Lavalleja,8
1978-07-02,1,Treinta y Tres,3,2011-01-08,Paysandú,1
1978-02-18,8,Salto,8,,,
1978-11-01,1,Artigas,8,,,
1978-04-14,1,Cerro Largo,2,,,
1978-03-27,2,Montevideo,8,,,
1978-01-07,9,Durazno,2,1984-07-28,Soriano,8
1978-06-07,1,Cerro Largo,8,,,
1978-07-08,1,Montevideo,1,1988-08-07,Las Piedras,9
1978-10-08,2,Tacuarembó,2,1988-02-23,Montevideo,2
1978-12-15,8,Colonia,3,,,
1978-12-17,1,Canelones,8,,,
1978-06-29,9,Paysandú,2,1980-10-18,Rivera,8
1978-10-26,1,Cerro Largo,9,2002-03-08,Artigas,9
1978-04-02,1,Flores,8,2021-12-01,Rocha,2
1978-09-28,1,Durazno,8,1983-03-09,Artigas,9
1978-03-03,9,Rocha,3,,,
1978-02-21,2,Flores,8,2002-11-27,Paysandú,9
1978-06-15,1,Montevideo,3,,,
1978-09-22,2,Artigas,2,,,
1978-01-18,9,Artigas,8,,,
1978-11-24,1,Río Negro,1,2004-04-10,Flores,1
1978-11-18,1,Rocha,3,,,
1978-07-30,1,Tacuarembó,2,1979-09-15,Artigas,8
1978-03-14,2,Cerro Largo,8,2022-06-01,Salto,1
1978-12-15,1,Colonia,9,,,
1978-04-25,1,Montevideo,3,2023-03-04,Salto,3
1978-04-20,2,Río Negro,2,2016-04-07,San José,2
1978-06-25,2,San José,1,,,
1978-10-21,2,Lavalleja,2,,,
1978-09-07,8,Colonia,9,,,
1978-02-04,9,San José,9,,,
1978-10-17,2,Florida,1,2005-12-21,Soriano,9
1978-03-23,9,Colonia,8,,,
1978-03-27,8,Maldonado,1,,,
1978-07-29,8,Las Piedras,1,,,
1978-01-15,9,Florida,1,2019-05-04,Río Negro,8
1978-04-29,1,Cerro Largo,3,2007-10-13,Lavalleja,2
1978-07-03,2,Tacuarembó,9,,,
1978-07-17,2,Artigas,3,,,
1978-09-27,1,Canelones,1,,,
1978-06-06,2,Río Negro,2,2014-05-22,Artigas,1
1978-11-25,9,Florida,3,,,
1978-07-31,2,Treinta y Tres,8,2021-07-05,Paysandú,2
1978-09-18,8,Paysandú,8,1997-10-24,Lavalleja,8
1978-09-05,9,Artigas,3,,,
1978-09-05,2,Cerro Largo,8,,,
1978-03-24,1,Treinta y Tres,8,1992-03-24,Flores,1
1978-06-20,1,Artigas,9,,,
1978-11-05,2,Montevideo,8,1995-08-27,Maldonado,9
1978-10-16,2,Florida,3,2006-07-18,Artigas,3
1978-05-03,2,Río Negro,1,,,
1978-07-18,2,Paysandú,8,,,
1978-09-26,8,Salto,1,,,
1978-09-18,2,Colonia,1,,,
1978-01-01,9,Montevideo,1,2019-07-19,Río Negro,2
1978-02-06,2,Las Piedras,8,1993-06-23,San José,8
1978-07-28,1,Salto,3,,,
1978-10-07,1,Colonia,3,,,
1978-10-06,1,Treinta y Tres,9,,,
1978-02-12,1,Flores,8,1987-12-27,Rocha,3
1978-10-23,9,San José,3,,,
1978-01-01,2,Lavalleja,2,,,
1978-11-17,9,Treinta y Tres,3,,,
1978-07-12,9,Cerro Largo,8,,,
1978-12-15,2,Salto,1,,,
1978-08-28,2,Colonia,2,,,
1978-03-31,8,Canelones,9,,,
1978-03-15,2,Canelones,2,,,
1978-03-22,1,Soriano,9,,,
1978-06-04,1,Cerro Largo,8,,,
1978-03-18,1,San José,1,,,
1978-01-10,2,Lavalleja,8,,,
1978-10-12,8,Flores,8,,,
1978-09-05,2,Colonia,1,,,
1978-12-26,1,Montevideo,9,2011-07-13,Paysandú,1
1978-12-25,9,Treinta y Tres,1,,,
1978-02-22,1,Rivera,2,,,
1978-03-11,2,Río Negro,1,1990-02-09,Colonia,8
1978-04-01,1,Montevideo,3,,,
1978-09-24,2,Treinta y Tres,3,,,
1978-10-18,9,Salto,2,2002-09-20,Canelones,2
1978-03-27,1,Paysandú,8,,,
1978-04-09,1,Durazno,9,,,
1978-09-18,1,Colonia,9,,,
1978-07-31,2,Treinta y Tres,9,,,
1978-08-25,1,Paysandú,1,,,
1978-10-02,1,Soriano,1,,,
1978-10-10,1,Maldonado,8,,,
1978-11-09,1,Flores,2,,,
1978-03-09,1,Las Piedras,8,,,
1978-10-03,9,Artigas,3,,,
1978-05-14,8,Treinta y Tres,8,2014-09-26,Flores,2
1978-06-12,8,Rivera,3,,,
1978-03-21,1,San José,2,2006-11-07,Durazno,2
1978-11-25,2,Paysandú,8,2000-03-16,Florida,9
1978-07-07,1,Montevideo,3,1998-09-19,Montevideo,2
1978-12-02,2,Rivera,1,1994-10-22,Soriano,8
1978-06-21,9,Paysandú,2,,,
1978-03-09,9,Río Negro,9,,,
1978-11-14,2,Tacuarembó,2,,,
1978-03-19,9,Salto,8,,,
1978-02-02,1,Soriano,3,2025-09-07,Río Negro,1
1978-05-12,1,Rivera,8,,,
1978-05-10,2,Maldonado,8,,,
1978-03-02,8,Florida,1,,,
1978-08-01,1,Río Negro,2,1997-09-14,Río Negro,9
1978-06-11,1,Rivera,8,2008-09-26,Tacuarembó,1
1978-02-10,2,Rocha,3,,,
1978-11-17,1,Florida,3,,,
1978-12-07,1,Durazno,9,,,
1978-04-08,1,Rivera,8,,,
1978-12-21,8,Florida,1,1993-02-22,Colonia,3
1978-04-11,1,Las Piedras,3,2013-11-13,Montevideo,1
1978-01-01,1,Rocha,1,,,
1978-08-20,2,Salto,1,,,
1978-10-22,1,Soriano,2,1980-09-24,Las Piedras,1
1978-09-03,2,Cerro Largo,8,,,
1978-08-03,9,Lavalleja,2,1984-05-10,Colonia,2
1978-11-26,2,Rocha,2,2007-11-18,Rivera,3
1978-02-04,1,Colonia,2,,,
1978-09-30,1,Montevideo,3,,,
1978-02-07,1,Durazno,9,2020-11-12,Durazno,1
1978-05-25,1,Rivera,9,1990-03-03,Rocha,2
1978-08-02,1,Tacuarembó,2,,,
1978-09-28,1,Paysandú,2,,,
1978-06-10,1,Canelones,8,,,
1978-04-28,1,Montevideo,2,,,
1978-07-23,1,San José,2,,,
1978-07-25,1,Tacuarembó,9,2022-03-22,Río Negro,3
1978-09-25,1,Maldonado,9,1988-11-22,Soriano,1
1978-01-25,1,Soriano,1,,,
1978-08-17,2,Florida,1,2007-04-13,Paysandú,3
1978-09-15,2,Maldonado,9,1992-09-12,Río Negro,8
1978-07-11,1,Flores,1,,,
1978-11-24,2,Salto,9,,,
1978-07-26,2,Salto,1,1993-01-27,Soriano,2
1978-11-15,1,Rivera,2,,,
1978-07-03,1,Rocha,1,1984-01-01,Montevideo,2
1978-09-26,2,Canelones,3,,,
1978-06-25,1,Artigas,3,,,
1978-06-13,1,Treinta y Tres,8,,,
1978-11-07,2,Salto,9,,,
1978-01-23,1,Maldonado,2,,,
1978-08-11,1,Río Negro,8,,,
1978-12-21,8,Cerro Largo,1,2009-11-09,Cerro Largo,9
1978-04-21,1,Salto,9,2023-11-06,Flores,2
1978-08-23,8,Río Negro,9,,,
1978-02-26,1,San José,9,,,
1978-12-22,1,Maldonado,2,,,
1978-01-13,1,Treinta y Tres,1,,,
1978-01-02,1,Artigas,1,,,
1978-07-22,1,Flores,2,,,
1978-09-10,2,Montevideo,9,2006-06-07,Artigas,2
1978-05-12,9,Canelones,8,,,
1978-07-22,1,Rocha,3,,,
1978-12-04,1,Montevideo,1,,,
1978-10-08,1,Artigas,8,,,
1978-01-23,8,Treinta y Tres,3,,,
1978-09-23,1,Cerro Largo,3,,,
1978-09-12,8,Durazno,9,,,
1978-11-05,9,Cerro Largo,2,,,
1978-06-03,9,Soriano,1,,,
1978-01-14,2,Rocha,1,2011-11-26,Cerro Largo,1
1978-08-23,1,Montevideo,1,2015-07-29,San José,1
1978-10-10,9,Lavalleja,9,2013-05-22,Canelones,8
1978-03-03,2,Flores,3,,,
1978-12-26,1,Florida,3,,,
1978-08-13,1,San José,9,2018-08-23,Durazno,3
1978-02-09,1,Paysandú,2,,,
1978-07-03,2,Tacuarembó,1,,,
1978-04-15,2,Canelones,3,,,
1978-10-05,9,Soriano,8,,,
1978-05-29,9,Canelones,9,,,
1978-10-31,1,Salto,3,,,
1978-05-02,8,Salto,8,1998-03-20,Colonia,2
1978-09-19,1,Rocha,2,,,
1978-03-22,1,Montevideo,3,,,
1978-01-31,2,Las Piedras,3,,,
1978-12-16,2,Rivera,3,2016-11-20,Rocha,8
1978-12-05,1,Tacuarembó,3,,,
1978-08-30,2,Cerro Largo,8,,,
1978-05-09,2,Florida,9,1990-11-09,San José,3
1978-02-02,9,Cerro Largo,3,,,
1978-08-26,8,Salto,1,2016-11-04,Las Piedras,2
1978-07-08,1,Maldonado,8,2014-06-21,Maldonado,2
1978-10-22,1,Rocha,3,2018-09-22,Maldonado,3
1978-06-16,2,Soriano,3,2007-09-18,Río Negro,1
1978-07-29,2,Artigas,3,,,
